Comment,Designator,Footprint,LCSC
2K,R0,R_0805_2012Metric,C1359
1 uF,"C14,C7,C9",CP_EIA-1608-08_AVX-J,C1592
10 uF,"C1,C3,C6,C8",CP_EIA-1608-08_AVX-J,C1713
RED,L1,D_0805_2012Metric,C2286
MBR120,D4,D_0805_2012Metric,C236132
10k,R3,R_0805_2012Metric,C269684
5.1K,R4,R_0805_2012Metric,C269696
100k,R1,R_0805_2012Metric,C269740
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_Amphenol_12401548E4-2A,C3020560
1K,R2,R_0805_2012Metric,C62365
Orange,CHG1,D_0805_2012Metric,C84269
8MHz Crystal,Y1,Resonator_SMD-3Pin_7.2x3.0mm,
ANTENNA_U.FL,X2,U.FL_Molex_MCRF_73412-0110_Vertical,
JSTPH,X1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,
RFM69HCW,U4,HOPERF_RFM69HW,
MCP73831-2-OT,U3,SOT-23-5,
AP2112K-3.3,U2,SOT-23-5,
ATmega32U4-MU,U1,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm,
ANT,TP1,TestPoint_Pad_2.5x2.5mm,
SPST_TACT-KMR2,SW1,SW_SPST_TL3305A,
5.1K,R10,R_0805_2012Metric,
100k,R9,R_0805_2012Metric,
22,R8,R_0805_2012Metric,
2.2K,R7,R_0805_2012Metric,
10k,R6,R_0805_2012Metric,
22,R5,R_0805_2012Metric,
Conn_01x12,JP3,PinSocket_1x12_P2.54mm_Vertical,
Conn_01x16,JP2,PinSocket_1x16_P2.54mm_Vertical,
